dateid,areaID,deaths
20210121,si,3621
20210121,za,76
20210120,ce,406
20210120,kk,147
20210120,kp,122
20210120,kr,316
20210120,lj,769
20210120,mb,677
20210120,ms,356
20210120,ng,197
20210120,nm,278
20210120,po,84
20210120,sg,169
20210120,si,3597
20210120,za,75
20210119,ce,400
20210119,kk,144
20210119,kp,122
20210119,kr,316
20210119,lj,764
20210119,mb,672
20210119,ms,353
20210119,ng,196
20210119,nm,276
20210119,po,83
20210119,sg,169
20210119,si,3568
20210119,za,72
20210118,ce,396
20210118,kk,140
20210118,kp,119
20210118,kr,314
20210118,lj,762
20210118,mb,667
20210118,ms,352
20210118,ng,195
20210118,nm,275
20210118,po,83
20210118,sg,169
20210118,si,3544
20210118,za,71
20210117,ce,393
20210117,kk,138
20210117,kp,119
20210117,kr,313
20210117,lj,756
20210117,mb,662
20210117,ms,351
20210117,ng,194
20210117,nm,270
20210117,po,83
20210117,sg,169
20210117,si,3516
20210117,za,67
20210116,ce,386
20210116,kk,136
20210116,kp,118
20210116,kr,309
20210116,lj,751
20210116,mb,657
20210116,ms,350
20210116,ng,191
20210116,nm,268
20210116,po,83
20210116,sg,168
20210116,si,3485
20210116,za,67
20210115,ce,382
20210115,kk,134
20210115,kp,117
20210115,kr,307
20210115,lj,745
20210115,mb,648
20210115,ms,349
20210115,ng,188
20210115,nm,266
20210115,po,83
20210115,sg,166
20210115,si,3452
20210115,za,66
20210114,ce,382
20210114,kk,131
20210114,kp,116
20210114,kr,304
20210114,lj,737
20210114,mb,647
20210114,ms,346
20210114,ng,181
20210114,nm,265
20210114,po,83
20210114,sg,164
20210114,si,3422
20210114,za,65
20210113,ce,379
20210113,kk,129
20210113,kp,115
20210113,kr,301
20210113,lj,735
20210113,mb,638
20210113,ms,345
20210113,ng,179
20210113,nm,264
20210113,po,82
20210113,sg,164
20210113,si,3397
20210113,za,65
20210112,ce,378
20210112,kk,128
20210112,kp,115
20210112,kr,301
20210112,lj,731
20210112,mb,634
20210112,ms,344
20210112,ng,178
20210112,nm,260
20210112,po,82
20210112,sg,162
20210112,si,3379
20210112,za,65
20210111,ce,374
20210111,kk,126
20210111,kp,115
20210111,kr,301
20210111,lj,727
20210111,mb,632
20210111,ms,341
20210111,ng,177
20210111,nm,256
20210111,po,82
20210111,sg,159
20210111,si,3356
20210111,za,65
20210110,ce,367
20210110,kk,125
20210110,kp,115
20210110,kr,297
20210110,lj,722
20210110,mb,625
20210110,ms,338
20210110,ng,177
20210110,nm,255
20210110,po,81
20210110,sg,159
20210110,si,3327
20210110,za,65
20210109,ce,365
20210109,kk,123
20210109,kp,115
20210109,kr,297
20210109,lj,715
20210109,mb,622
20210109,ms,336
20210109,ng,176
20210109,nm,253
20210109,po,81
20210109,sg,158
20210109,si,3307
20210109,za,65
20210108,ce,361
20210108,kk,122
20210108,kp,114
20210108,kr,296
20210108,lj,706
20210108,mb,612
20210108,ms,335
20210108,ng,174
20210108,nm,250
20210108,po,81
20210108,sg,157
20210108,si,3274
20210108,za,65
20210107,ce,355
20210107,kk,122
20210107,kp,113
20210107,kr,295
20210107,lj,699
20210107,mb,605
20210107,ms,335
20210107,ng,171
20210107,nm,248
20210107,po,81
20210107,sg,156
20210107,si,3246
20210107,za,65
20210106,ce,354
20210106,kk,120
20210106,kp,112
20210106,kr,293
20210106,lj,694
20210106,mb,599
20210106,ms,335
20210106,ng,166
20210106,nm,244
20210106,po,80
20210106,sg,155
20210106,si,3217
20210106,za,64
20210105,ce,351
20210105,kk,119
20210105,kp,111
20210105,kr,291
20210105,lj,692
20210105,mb,593
20210105,ms,333
20210105,ng,165
20210105,nm,243
20210105,po,80
20210105,sg,152
20210105,si,3193
20210105,za,62
20210104,ce,348
20210104,kk,117
20210104,kp,111
20210104,kr,289
20210104,lj,684
20210104,mb,581
20210104,ms,331
20210104,ng,165
20210104,nm,238
20210104,po,79
20210104,sg,151
20210104,si,3156
20210104,za,61
20210103,ce,344
20210103,kk,115
20210103,kp,110
20210103,kr,289
20210103,lj,675
20210103,mb,576
20210103,ms,330
20210103,ng,163
20210103,nm,234
20210103,po,79
20210103,sg,150
20210103,si,3126
20210103,za,60
20210102,ce,338
20210102,kk,114
20210102,kp,110
20210102,kr,287
20210102,lj,663
20210102,mb,573
20210102,ms,326
20210102,ng,161
20210102,nm,233
20210102,po,79
20210102,sg,149
20210102,si,3093
20210102,za,59
20210101,ce,333
20210101,kk,113
20210101,kp,109
20210101,kr,287
20210101,lj,654
20210101,mb,565
20210101,ms,325
20210101,ng,161
20210101,nm,227
20210101,po,77
20210101,sg,148
20210101,si,3058
20210101,za,58
20201231,ce,331
20201231,kk,113
20201231,kp,107
20201231,kr,284
20201231,lj,639
20201231,mb,561
20201231,ms,321
20201231,ng,161
20201231,nm,225
20201231,po,76
20201231,sg,148
20201231,si,3023
20201231,za,56
20201230,ce,319
20201230,kk,109
20201230,kp,105
20201230,kr,282
20201230,lj,630
20201230,mb,559
20201230,ms,318
20201230,ng,160
20201230,nm,223
20201230,po,76
20201230,sg,146
20201230,si,2981
20201230,za,53
20201229,ce,314
20201229,kk,108
20201229,kp,104
20201229,kr,281
20201229,lj,625
20201229,mb,554
20201229,ms,312
20201229,ng,160
20201229,nm,220
20201229,po,76
20201229,sg,146
20201229,si,2953
20201229,za,52
20201228,ce,310
20201228,kk,106
20201228,kp,102
20201228,kr,281
20201228,lj,613
20201228,mb,550
20201228,ms,309
20201228,ng,160
20201228,nm,217
20201228,po,76
20201228,sg,145
20201228,si,2922
20201228,za,52
20201227,ce,306
20201227,kk,106
20201227,kp,98
20201227,kr,278
20201227,lj,601
20201227,mb,543
20201227,ms,304
20201227,ng,157
20201227,nm,213
20201227,po,74
20201227,sg,145
20201227,si,2878
20201227,za,52
20201226,ce,302
20201226,kk,105
20201226,kp,94
20201226,kr,275
20201226,lj,592
20201226,mb,532
20201226,ms,299
20201226,ng,156
20201226,nm,209
20201226,po,73
20201226,sg,142
20201226,si,2830
20201226,za,50
20201225,ce,299
20201225,kk,103
20201225,kp,92
20201225,kr,274
20201225,lj,584
20201225,mb,529
20201225,ms,296
20201225,ng,154
20201225,nm,207
20201225,po,72
20201225,sg,142
20201225,si,2803
20201225,za,50
20201224,ce,297
20201224,kk,102
20201224,kp,91
20201224,kr,273
20201224,lj,576
20201224,mb,518
20201224,ms,293
20201224,ng,153
20201224,nm,203
20201224,po,72
20201224,sg,141
20201224,si,2770
20201224,za,50
20201223,ce,289
20201223,kk,99
20201223,kp,86
20201223,kr,270
20201223,lj,572
20201223,mb,512
20201223,ms,291
20201223,ng,152
20201223,nm,201
20201223,po,71
20201223,sg,141
20201223,si,2735
20201223,za,50
20201222,ce,283
20201222,kk,99
20201222,kp,79
20201222,kr,268
20201222,lj,569
20201222,mb,506
20201222,ms,287
20201222,ng,152
20201222,nm,199
20201222,po,71
20201222,sg,140
20201222,si,2703
20201222,za,49
20201221,ce,279
20201221,kk,98
20201221,kp,77
20201221,kr,264
20201221,lj,564
20201221,mb,498
20201221,ms,286
20201221,ng,147
20201221,nm,199
20201221,po,68
20201221,sg,137
20201221,si,2666
20201221,za,48
20201220,ce,274
20201220,kk,97
20201220,kp,74
20201220,kr,264
20201220,lj,551
20201220,mb,488
20201220,ms,284
20201220,ng,144
20201220,nm,194
20201220,po,67
20201220,sg,136
20201220,si,2621
20201220,za,47
20201219,ce,273
20201219,kk,94
20201219,kp,71
20201219,kr,261
20201219,lj,546
