dateid,areaID,activeCases
20220130,lj,44634
20220130,mb,26074
20220130,ms,7539
20220130,ng,9790
20220130,nm,12296
20220130,po,4832
20220130,sg,5619
20220130,si,172568
20220130,za,4148
20220129,ce,23580
20220129,kk,5723
20220129,kp,7973
20220129,kr,18374
20220129,lj,44448
20220129,mb,25224
20220129,ms,7028
20220129,ng,9771
20220129,nm,11919
20220129,po,4615
20220129,sg,5577
20220129,si,168963
20220129,za,4055
20220128,ce,22563
20220128,kk,5455
20220128,kp,7741
20220128,kr,17624
20220128,lj,43003
20220128,mb,23205
20220128,ms,6492
20220128,ng,9584
20220128,nm,11416
20220128,po,4301
20220128,sg,5240
20220128,si,161117
20220128,za,3833
20220127,ce,21221
20220127,kk,5244
20220127,kp,7364
20220127,kr,16977
20220127,lj,42153
20220127,mb,21768
20220127,ms,5833
20220127,ng,9013
20220127,nm,10809
20220127,po,4054
20220127,sg,4931
20220127,si,153818
20220127,za,3796
20220126,ce,19649
20220126,kk,4748
20220126,kp,6905
20220126,kr,15895
20220126,lj,40138
20220126,mb,19759
20220126,ms,5162
20220126,ng,9020
20220126,nm,10199
20220126,po,3807
20220126,sg,4575
20220126,si,143861
20220126,za,3367
20220125,ce,18343
20220125,kk,4430
20220125,kp,6655
20220125,kr,15224
20220125,lj,39073
20220125,mb,18285
20220125,ms,4631
20220125,ng,8507
20220125,nm,9472
20220125,po,3622
20220125,sg,4446
20220125,si,136512
20220125,za,3177
20220124,ce,16860
20220124,kk,3971
20220124,kp,6154
20220124,kr,14468
20220124,lj,37099
20220124,mb,16697
20220124,ms,3951
20220124,ng,8111
20220124,nm,8390
20220124,po,3260
20220124,sg,3960
20220124,si,126436
20220124,za,2875
20220123,ce,15722
20220123,kk,3710
20220123,kp,5901
20220123,kr,13629
20220123,lj,35112
20220123,mb,15469
20220123,ms,3611
20220123,ng,7608
20220123,nm,7924
20220123,po,3079
20220123,sg,3579
20220123,si,118772
20220123,za,2800
20220122,ce,14601
20220122,kk,3612
20220122,kp,5629
20220122,kr,12559
20220122,lj,34101
20220122,mb,14675
20220122,ms,3308
20220122,ng,7374
20220122,nm,7543
20220122,po,2896
20220122,sg,3396
20220122,si,112887
20220122,za,2565
20220121,ce,12720
20220121,kk,3372
20220121,kp,4979
20220121,kr,11289
20220121,lj,31739
20220121,mb,12431
20220121,ms,2818
20220121,ng,7101
20220121,nm,7094
20220121,po,2573
20220121,sg,2906
20220121,si,102055
20220121,za,2411
20220120,ce,11846
20220120,kk,3044
20220120,kp,4540
20220120,kr,11005
20220120,lj,30955
20220120,mb,11424
20220120,ms,2573
20220120,ng,6440
20220120,nm,6709
20220120,po,2454
20220120,sg,2823
20220120,si,96586
20220120,za,2162
20220119,ce,11246
20220119,kk,2796
20220119,kp,4427
20220119,kr,10414
20220119,lj,29005
20220119,mb,10636
20220119,ms,2389
20220119,ng,6125
20220119,nm,6205
20220119,po,2226
20220119,sg,2634
20220119,si,90805
20220119,za,2066
20220118,ce,10345
20220118,kk,2587
20220118,kp,4134
20220118,kr,9650
20220118,lj,27624
20220118,mb,9785
20220118,ms,2283
20220118,ng,5516
20220118,nm,5646
20220118,po,1930
20220118,sg,2315
20220118,si,84347
20220118,za,1895
20220117,ce,9393
20220117,kk,2287
20220117,kp,3802
20220117,kr,8728
20220117,lj,25463
20220117,mb,8355
20220117,ms,2114
20220117,ng,4920
20220117,nm,5066
20220117,po,1660
20220117,sg,2069
20220117,si,76129
20220117,za,1647
20220116,ce,9103
20220116,kk,2194
20220116,kp,3602
20220116,kr,8057
20220116,lj,23217
20220116,mb,7677
20220116,ms,1907
20220116,ng,4705
20220116,nm,4694
20220116,po,1640
20220116,sg,1889
20220116,si,70836
20220116,za,1528
20220115,ce,8776
20220115,kk,2070
20220115,kp,3510
20220115,kr,7586
20220115,lj,21884
20220115,mb,6918
20220115,ms,1852
20220115,ng,4459
20220115,nm,4510
20220115,po,1627
20220115,sg,1663
20220115,si,66867
20220115,za,1408
20220114,ce,7938
20220114,kk,1934
20220114,kp,3222
20220114,kr,7067
20220114,lj,20256
20220114,mb,6278
20220114,ms,1708
20220114,ng,4071
20220114,nm,4231
20220114,po,1532
20220114,sg,1538
20220114,si,61680
20220114,za,1324
20220113,ce,7079
20220113,kk,1707
20220113,kp,3042
20220113,kr,6340
20220113,lj,18112
20220113,mb,5699
20220113,ms,1626
20220113,ng,3834
20220113,nm,3917
20220113,po,1356
20220113,sg,1391
20220113,si,55744
20220113,za,1094
20220112,ce,6476
20220112,kk,1610
20220112,kp,2802
20220112,kr,5635
20220112,lj,16568
20220112,mb,5108
