dateID,documentOrd,srcLink
20210106,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3036807:1609951822/Report%2098.pdf
20210106,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3036376:1609926888/Report%2097.pdf
20210105,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3035644:1609866272/Report%2096.pdf
20210105,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3035229:1609849847/Report%2095.pdf
20210104,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3034347:1609778240/Report%2094.pdf
20210104,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3034032:1609766786/Report%2093.pdf
20210103,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3033354:1609692146/Report%2092.pdf
20210103,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3033087:1609666032/Report%2091.pdf
20210102,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3032652:1609610144/1609608888781_Report.pdf
20210102,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3032157:1609579388/Report%2090.pdf
20210101,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3031840:1609528420/Report%2089.pdf
20210101,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3031448:1609500086/Report%2088.pdf
20201231,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3030781:1609407028/Report%2086.pdf
20201230,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3030153:1609351290/Report%2085.pdf
20201229,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3028943:1609260980/Report%2083.pdf
20201229,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3028667:1609250421/Report_29_12_2020_ore_08.pdf
20201228,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3027843:1609180039/Report%2082.pdf
20201228,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3027281:1609159280/Report%2081.pdf
20201227,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3026178:1609065146/Report%2078.pdf
20201226,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3025736:1609002482/Report%2077.pdf
20201226,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3025460:1608985641/Report%2076.pdf
20201225,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3025161:1608917629/Report%2075.pdf
20201225,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3025162:1608917673/Report%2074.pdf
20201224,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3024706:1608838048/Report%2073.pdf
20201223,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3023649:1608751327/Report%2071.pdf
20201223,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3023201:1608729159/Report%2070.pdf
20201222,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3022554:1608667504/Report%20informatizzato_20201222_ore17.pdf
20201222,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3021881:1608640734/Report%2069.pdf
20201221,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3021301:1608577023/Report%2068.pdf
20201221,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3020694:1608553355/Report%2067.pdf
20201220,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3020052:1608492314/Report%2066.pdf
20201220,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3019718:1608458798/Report%2065%20(1).pdf
20201219,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3019107:1608396216/Report%2064.pdf
20201219,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3018758:1608379424/Report%2063.pdf
