dateID,sigla_provincia,totale_casi
20220413,RG,76253
20220413,SR,94270
20220413,SS,70913
20220413,NU,36305
20220413,CA,69694
20220413,OR,29126
20220413,SU,45680
20220412,TO,575712
20220412,VC,38476
20220412,NO,81925
20220412,CN,140402
20220412,AT,50534
20220412,AL,95239
20220412,BI,41258
20220412,VB,39778
20220412,AO,30795
20220412,VA,242383
20220412,CO,162209
20220412,SO,43905
20220412,MI,858773
20220412,BG,202001
20220412,BS,329246
20220412,PV,138665
20220412,CR,86408
20220412,MN,110157
20220412,LC,77129
20220412,LO,56849
20220412,MB,239112
20220412,BZ,190478
20220412,TN,154270
20220412,VR,289276
20220412,VI,274834
20220412,BL,59463
20220412,TV,284565
20220412,VE,259152
20220412,PD,301581
20220412,RO,65002
20220412,UD,144006
20220412,GO,38778
20220412,TS,75514
20220412,PN,83037
20220412,IM,55103
20220412,SV,65227
20220412,GE,209195
20220412,SP,55327
20220412,PC,69276
20220412,PR,106101
20220412,RE,150826
20220412,MO,200459
20220412,BO,307216
20220412,FE,91501
20220412,RA,123209
20220412,FC,134398
20220412,RN,125214
20220412,MS,50167
20220412,LU,108919
20220412,PT,83394
20220412,FI,289708
20220412,LI,90382
20220412,PI,117819
20220412,AR,95044
20220412,SI,71325
20220412,GR,54246
20220412,PO,72287
20220412,PG,181176
20220412,TR,56796
20220412,PU,82173
20220412,AN,126774
20220412,MC,81940
20220412,AP,56463
20220412,FM,49024
20220412,VT,65370
20220412,RI,41076
20220412,RM,1011282
20220412,LT,139795
20220412,FR,109930
20220412,AQ,72507
20220412,TE,84758
20220412,PE,77635
20220412,CH,93887
20220412,CB,38883
20220412,IS,14126
20220412,CE,228770
20220412,BN,55821
20220412,NA,826577
20220412,AV,87207
20220412,SA,255424
20220412,FG,146650
20220412,BA,320101
20220412,TA,129546
20220412,BR,90678
20220412,LE,195981
20220412,BT,90233
20220412,PZ,73322
20220412,MT,39868
20220412,CS,80192
20220412,CZ,44671
20220412,RC,127460
20220412,KR,33185
20220412,VV,35997
20220412,TP,78887
20220412,PA,247819
20220412,ME,145902
20220412,AG,80535
20220412,CL,63064
20220412,EN,30196
20220412,CT,216466
20220412,RG,76016
20220412,SR,93836
20220412,SS,70490
20220412,NU,35998
20220412,CA,69201
20220412,OR,28937
20220412,SU,45302
20220411,TO,573590
20220411,VC,38303
20220411,NO,81628
20220411,CN,140017
20220411,AT,50293
20220411,AL,94704
20220411,BI,41134
20220411,VB,39654
20220411,AO,30641
20220411,VA,241266
20220411,CO,161496
20220411,SO,43750
20220411,MI,855061
20220411,BG,201167
20220411,BS,327775
20220411,PV,137998
20220411,CR,86043
20220411,MN,109510
20220411,LC,76609
20220411,LO,56685
20220411,MB,238123
20220411,BZ,189663
20220411,TN,153750
20220411,VR,287886
20220411,VI,273177
20220411,BL,59129
20220411,TV,283230
20220411,VE,257570
20220411,PD,299691
20220411,RO,64588
20220411,UD,143373
20220411,GO,38644
20220411,TS,75147
20220411,PN,82716
20220411,IM,54919
20220411,SV,64936
20220411,GE,207850
20220411,SP,54980
20220411,PC,69086
20220411,PR,105878
20220411,RE,150434
20220411,MO,199814
20220411,BO,306461
20220411,FE,91352
20220411,RA,122842
20220411,FC,134114
20220411,RN,124946
20220411,MS,49759
20220411,LU,108378
20220411,PT,82957
20220411,FI,288388
20220411,LI,89896
20220411,PI,117134
20220411,AR,94548
20220411,SI,70861
20220411,GR,53871
20220411,PO,72021
20220411,PG,180226
20220411,TR,56528
20220411,PU,81651
20220411,AN,125961
20220411,MC,81439
20220411,AP,56017
20220411,FM,48744
20220411,VT,64891
20220411,RI,40807
20220411,RM,1004842
20220411,LT,138690
20220411,FR,109167
20220411,AQ,72024
20220411,TE,84037
20220411,PE,77024
20220411,CH,93087
20220411,CB,38641
20220411,IS,14044
20220411,CE,227268
20220411,BN,55205
20220411,NA,822513
20220411,AV,86300
20220411,SA,253337
20220411,FG,145653
20220411,BA,317284
20220411,TA,128419
20220411,BR,89895
20220411,LE,194522
20220411,BT,89712
20220411,PZ,72700
20220411,MT,39636
20220411,CS,79480
20220411,CZ,43955
20220411,RC,126566
