dateid,areaID,confirmedCases
20210428,ce,32195
20210428,kk,9379
20210428,kp,10678
20210428,kr,24951
20210428,lj,58098
20210428,mb,35820
20210428,ms,15186
20210428,ng,11777
20210428,nm,18569
20210428,po,5569
20210428,sg,9246
20210428,si,239419
20210428,za,6450
20210427,ce,32024
20210427,kk,9352
20210427,kp,10642
20210427,kr,24864
20210427,lj,57918
20210427,mb,35658
20210427,ms,15167
20210427,ng,11722
20210427,nm,18489
20210427,po,5534
20210427,sg,9224
20210427,si,238498
20210427,za,6407
20210426,ce,32002
20210426,kk,9335
20210426,kp,10641
20210426,kr,24830
20210426,lj,57793
20210426,mb,35574
20210426,ms,15124
20210426,ng,11702
20210426,nm,18448
20210426,po,5532
20210426,sg,9215
20210426,si,238095
20210426,za,6404
20210425,ce,31868
20210425,kk,9299
20210425,kp,10617
20210425,kr,24737
20210425,lj,57616
20210425,mb,35475
20210425,ms,15097
20210425,ng,11662
20210425,nm,18374
20210425,po,5488
20210425,sg,9189
20210425,si,237287
20210425,za,6373
20210424,ce,31858
20210424,kk,9296
20210424,kp,10617
20210424,kr,24706
20210424,lj,57542
20210424,mb,35439
20210424,ms,15091
20210424,ng,11656
20210424,nm,18366
20210424,po,5488
20210424,sg,9178
20210424,si,237096
20210424,za,6367
20210423,ce,31804
20210423,kk,9274
20210423,kp,10617
20210423,kr,24681
20210423,lj,57433
20210423,mb,35364
20210423,ms,15068
20210423,ng,11621
20210423,nm,18327
20210423,po,5476
20210423,sg,9169
20210423,si,236680
20210423,za,6356
20210422,ce,31707
20210422,kk,9231
20210422,kp,10584
20210422,kr,24596
20210422,lj,57215
20210422,mb,35247
20210422,ms,15034
20210422,ng,11587
20210422,nm,18259
20210422,po,5451
20210422,sg,9145
20210422,si,235849
20210422,za,6314
20210421,ce,31589
20210421,kk,9194
20210421,kp,10563
20210421,kr,24508
20210421,lj,57024
20210421,mb,35082
20210421,ms,14991
20210421,ng,11543
20210421,nm,18184
20210421,po,5414
20210421,sg,9112
20210421,si,234949
20210421,za,6284
20210420,ce,31453
20210420,kk,9171
20210420,kp,10534
20210420,kr,24423
20210420,lj,56862
20210420,mb,34986
20210420,ms,14950
20210420,ng,11510
20210420,nm,18121
20210420,po,5391
20210420,sg,9103
20210420,si,234205
20210420,za,6248
20210419,ce,31288
20210419,kk,9136
20210419,kp,10497
20210419,kr,24359
20210419,lj,56590
20210419,mb,34826
20210419,ms,14911
20210419,ng,11445
20210419,nm,18044
20210419,po,5369
20210419,sg,9059
20210419,si,233167
20210419,za,6210
20210418,ce,31150
20210418,kk,9102
20210418,kp,10468
20210418,kr,24287
20210418,lj,56428
20210418,mb,34764
20210418,ms,14895
20210418,ng,11417
20210418,nm,17961
20210418,po,5321
20210418,sg,9049
20210418,si,232443
20210418,za,6175
20210417,ce,31140
20210417,kk,9091
20210417,kp,10466
20210417,kr,24269
20210417,lj,56360
20210417,mb,34705
20210417,ms,14873
20210417,ng,11414
20210417,nm,17942
20210417,po,5321
20210417,sg,9036
20210417,si,232210
20210417,za,6168
20210416,ce,31097
20210416,kk,9070
20210416,kp,10464
20210416,kr,24215
20210416,lj,56221
20210416,mb,34614
20210416,ms,14849
20210416,ng,11380
20210416,nm,17922
20210416,po,5315
20210416,sg,9014
20210416,si,231734
20210416,za,6151
20210415,ce,30988
20210415,kk,9033
20210415,kp,10441
20210415,kr,24149
20210415,lj,56009
20210415,mb,34497
20210415,ms,14822
20210415,ng,11347
20210415,nm,17873
20210415,po,5290
20210415,sg,8977
20210415,si,230962
20210415,za,6119
20210414,ce,30860
20210414,kk,9013
20210414,kp,10405
20210414,kr,24065
20210414,lj,55768
20210414,mb,34363
20210414,ms,14776
20210414,ng,11320
20210414,nm,17817
20210414,po,5266
20210414,sg,8956
20210414,si,230100
20210414,za,6082
20210413,ce,30682
20210413,kk,8983
20210413,kp,10379
20210413,kr,23953
20210413,lj,55587
20210413,mb,34244
20210413,ms,14736
20210413,ng,11275
20210413,nm,17749
20210413,po,5229
20210413,sg,8929
20210413,si,229208
20210413,za,6056
20210412,ce,30494
20210412,kk,8941
20210412,kp,10319
20210412,kr,23840
20210412,lj,55278
20210412,mb,34103
20210412,ms,14674
20210412,ng,11186
20210412,nm,17651
20210412,po,5167
20210412,sg,8900
20210412,si,227972
20210412,za,6016
20210411,ce,30286
20210411,kk,8900
20210411,kp,10285
20210411,kr,23737
20210411,lj,54999
20210411,mb,33966
20210411,ms,14637
20210411,ng,11154
20210411,nm,17577
20210411,po,5122
20210411,sg,8862
20210411,si,226922
20210411,za,5996
20210410,ce,30280
20210410,kk,8889
20210410,kp,10284
20210410,kr,23693
20210410,lj,54922
20210410,mb,33876
20210410,ms,14615
20210410,ng,11151
20210410,nm,17564
20210410,po,5122
20210410,sg,8855
20210410,si,226631
20210410,za,5983
20210409,ce,30220
20210409,kk,8882
20210409,kp,10281
20210409,kr,23636
20210409,lj,54750
20210409,mb,33744
20210409,ms,14579
20210409,ng,11131
20210409,nm,17525
20210409,po,5118
20210409,sg,8843
20210409,si,226082
20210409,za,5980
20210408,ce,30010
20210408,kk,8843
20210408,kp,10234
20210408,kr,23517
20210408,lj,54444
20210408,mb,33558
20210408,ms,14512
20210408,ng,11064
20210408,nm,17437
20210408,po,5073
20210408,sg,8807
20210408,si,224826
20210408,za,5941
20210407,ce,29786
20210407,kk,8804
20210407,kp,10199
20210407,kr,23396
20210407,lj,54101
20210407,mb,33385
20210407,ms,14468
20210407,ng,11019
20210407,nm,17343
20210407,po,5008
20210407,sg,8761
20210407,si,223543
20210407,za,5897
20210406,ce,29536
20210406,kk,8773
20210406,kp,10113
20210406,kr,23264
20210406,lj,53656
20210406,mb,33212
20210406,ms,14386
20210406,ng,10926
20210406,nm,17222
20210406,po,4961
20210406,sg,8735
20210406,si,222014
20210406,za,5860
20210405,ce,29311
20210405,kk,8724
20210405,kp,10061
20210405,kr,23166
20210405,lj,53401
20210405,mb,33041
20210405,ms,14346
20210405,ng,10861
20210405,nm,17134
20210405,po,4906
20210405,sg,8681
20210405,si,220823
20210405,za,5825
20210404,ce,29298
20210404,kk,8719
20210404,kp,10060
20210404,kr,23146
20210404,lj,53295
20210404,mb,32979
20210404,ms,14323
20210404,ng,10855
20210404,nm,17119
20210404,po,4902
20210404,sg,8665
20210404,si,220550
20210404,za,5824
20210403,ce,29295
20210403,kk,8713
20210403,kp,10060
20210403,kr,23120
20210403,lj,53198
20210403,mb,32901
20210403,ms,14308
20210403,ng,10846
20210403,nm,17093
20210403,po,4902
20210403,sg,8655
20210403,si,220267
20210403,za,5812
20210402,ce,29230
20210402,kk,8699
20210402,kp,10052
20210402,kr,23048
20210402,lj,52937
20210402,mb,32765
20210402,ms,14297
20210402,ng,10768
20210402,nm,17062
20210402,po,4898
20210402,sg,8638
20210402,si,219547
20210402,za,5796
20210401,ce,28997
20210401,kk,8665
20210401,kp,9978
20210401,kr,22941
20210401,lj,52641
20210401,mb,32598
20210401,ms,14258
20210401,ng,10657
20210401,nm,16955
20210401,po,4868
20210401,sg,8578
20210401,si,218248
20210401,za,5770
20210331,ce,28813
20210331,kk,8645
20210331,kp,9896
20210331,kr,22853
20210331,lj,52352
20210331,mb,32422
20210331,ms,14200
20210331,ng,10565
20210331,nm,16868
20210331,po,4834
20210331,sg,8542
20210331,si,217077
20210331,za,5750
20210330,ce,28574
20210330,kk,8615
20210330,kp,9828
20210330,kr,22727
20210330,lj,51978
20210330,mb,32253
20210330,ms,14157
20210330,ng,10482
20210330,nm,16772
20210330,po,4812
20210330,sg,8483
20210330,si,215739
20210330,za,5728
20210329,ce,28323
20210329,kk,8584
20210329,kp,9700
20210329,kr,22612
20210329,lj,51573
20210329,mb,32040
20210329,ms,14104
20210329,ng,10362
20210329,nm,16663
20210329,po,4760
20210329,sg,8449
20210329,si,214167
20210329,za,5677
20210328,ce,28102
20210328,kk,8557
20210328,kp,9612
20210328,kr,22514
20210328,lj,51350
20210328,mb,31903
20210328,ms,14077
20210328,ng,10280
20210328,nm,16587
20210328,po,4725
20210328,sg,8402
20210328,si,213085
20210328,za,5660
20210327,ce,28092
20210327,kk,8550
20210327,kp,9612
20210327,kr,22490
20210327,lj,51269
20210327,mb,31812
20210327,ms,14062
20210327,ng,10269
20210327,nm,16565
20210327,po,4724
20210327,sg,8389
20210327,si,212797
20210327,za,5650
20210326,ce,28041
20210326,kk,8542
20210326,kp,9607
20210326,kr,22445
20210326,lj,51022
20210326,mb,31698
20210326,ms,14029
20210326,ng,10208
20210326,nm,16527
20210326,po,4724
20210326,sg,8373
20210326,si,212156
20210326,za,5630
20210325,ce,27848
20210325,kk,8516
20210325,kp,9526
20210325,kr,22342
20210325,lj,50678
20210325,mb,31526
20210325,ms,14009
20210325,ng,10093
20210325,nm,16441
20210325,po,4684
20210325,sg,8328
20210325,si,210904
20210325,za,5611
20210324,ce,27695
20210324,kk,8496
20210324,kp,9470
