dateId,BundeslandID,Bundesland,AnzahlFaelleSum,AnzahlTotSum,AnzahlGeheiltSum
20200414,3,Niederösterreich,2465,77,1393
20200414,4,Oberösterreich,2169,35,1284
20200414,5,Salzburg,1160,24,817
20200414,6,Steiermark,1595,96,644
20200414,7,Tirol,3334,83,2185
20200414,8,Vorarlberg,866,10,647
20200414,9,Wien,2117,108,1269
20200414,10,Österreich,14392,449,8645
20200415,1,Burgenland,279,5,174
20200415,2,Kärnten,409,11,252
20200415,3,Niederösterreich,2494,79,1470
20200415,4,Oberösterreich,2191,37,1385
20200415,5,Salzburg,1166,25,850
20200415,6,Steiermark,1614,100,681
20200415,7,Tirol,3355,87,2311
20200415,8,Vorarlberg,871,10,665
20200415,9,Wien,2141,110,1349
20200415,10,Österreich,14520,464,9137
20200416,1,Burgenland,287,6,183
20200416,2,Kärnten,409,11,268
20200416,3,Niederösterreich,2508,84,1556
20200416,4,Oberösterreich,2197,38,1462
20200416,5,Salzburg,1173,27,881
20200416,6,Steiermark,1633,103,749
20200416,7,Tirol,3377,89,2414
20200416,8,Vorarlberg,873,11,679
20200416,9,Wien,2174,117,1401
20200416,10,Österreich,14631,486,9593
20200417,1,Burgenland,295,6,184
20200417,2,Kärnten,410,12,277
20200417,3,Niederösterreich,2527,85,1634
20200417,4,Oberösterreich,2216,38,1568
20200417,5,Salzburg,1177,27,907
20200417,6,Steiermark,1648,106,797
20200417,7,Tirol,3381,92,2506
20200417,8,Vorarlberg,875,13,699
20200417,9,Wien,2202,120,1443
20200417,10,Österreich,14731,499,10015
20200418,1,Burgenland,299,7,185
20200418,2,Kärnten,410,13,288
20200418,3,Niederösterreich,2533,85,1681
20200418,4,Oberösterreich,2221,42,1608
20200418,5,Salzburg,1181,27,928
20200418,6,Steiermark,1656,110,839
20200418,7,Tirol,3388,93,2561
20200418,8,Vorarlberg,878,14,710
20200418,9,Wien,2225,125,1471
20200418,10,Österreich,14791,516,10271
20200419,1,Burgenland,302,7,191
20200419,2,Kärnten,410,13,292
20200419,3,Niederösterreich,2538,88,1716
20200419,4,Oberösterreich,2225,44,1628
20200419,5,Salzburg,1186,28,936
20200419,6,Steiermark,1663,114,855
20200419,7,Tirol,3394,94,2597
20200419,8,Vorarlberg,879,14,718
20200419,9,Wien,2241,130,1500
20200419,10,Österreich,14838,532,10433
20200420,1,Burgenland,308,7,202
20200420,2,Kärnten,412,13,296
20200420,3,Niederösterreich,2557,88,1785
20200420,4,Oberösterreich,2233,44,1675
20200420,5,Salzburg,1187,28,954
20200420,6,Steiermark,1673,117,896
20200420,7,Tirol,3398,98,2735
20200420,8,Vorarlberg,884,14,730
20200420,9,Wien,2254,132,1547
20200420,10,Österreich,14906,541,10820
20200421,1,Burgenland,311,7,210
20200421,2,Kärnten,412,13,307
20200421,3,Niederösterreich,2569,89,1850
20200421,4,Oberösterreich,2237,47,1734
20200421,5,Salzburg,1189,31,974
20200421,6,Steiermark,1679,118,936
20200421,7,Tirol,3408,99,2900
20200421,8,Vorarlberg,886,14,745
20200421,9,Wien,2285,141,1596
20200421,10,Österreich,14976,559,11252
20200422,1,Burgenland,314,8,216
20200422,2,Kärnten,412,13,324
20200422,3,Niederösterreich,2586,91,1899
20200422,4,Oberösterreich,2241,49,1775
20200422,5,Salzburg,1189,31,998
20200422,6,Steiermark,1695,120,967
20200422,7,Tirol,3417,102,2939
20200422,8,Vorarlberg,886,14,751
20200422,9,Wien,2309,143,1643
20200422,10,Österreich,15049,571,11512
20200423,1,Burgenland,315,9,221
20200423,2,Kärnten,412,13,339
20200423,3,Niederösterreich,2593,92,1948
20200423,4,Oberösterreich,2252,50,1817
20200423,5,Salzburg,1191,31,1019
20200423,6,Steiermark,1706,122,993
20200423,7,Tirol,3422,102,2975
20200423,8,Vorarlberg,887,14,764
20200423,9,Wien,2331,144,1683
20200423,10,Österreich,15109,577,11759
20200424,1,Burgenland,316,9,225
20200424,2,Kärnten,412,13,345
20200424,3,Niederösterreich,2607,94,2017
20200424,4,Oberösterreich,2259,51,1853
20200424,5,Salzburg,1193,31,1029
20200424,6,Steiermark,1714,124,1061
20200424,7,Tirol,3438,102,3004
20200424,8,Vorarlberg,887,14,769
20200424,9,Wien,2362,146,1721
20200424,10,Österreich,15188,584,12024
20200425,1,Burgenland,317,10,227
20200425,2,Kärnten,414,13,357
20200425,3,Niederösterreich,2613,97,2050
20200425,4,Oberösterreich,2260,52,1872
20200425,5,Salzburg,1195,31,1045
20200425,6,Steiermark,1732,126,1077
20200425,7,Tirol,3450,103,3017
20200425,8,Vorarlberg,887,15,777
20200425,9,Wien,2382,151,1740
20200425,10,Österreich,15250,598,12162
20200426,1,Burgenland,317,10,228
20200426,2,Kärnten,415,13,360
20200426,3,Niederösterreich,2616,97,2068
20200426,4,Oberösterreich,2262,53,1879
20200426,5,Salzburg,1198,32,1052
20200426,6,Steiermark,1744,128,1087
20200426,7,Tirol,3452,104,3055
20200426,8,Vorarlberg,887,16,791
20200426,9,Wien,2394,154,1752
20200426,10,Österreich,15285,607,12272
20200427,1,Burgenland,321,10,231
20200427,2,Kärnten,415,13,364
20200427,3,Niederösterreich,2625,97,2112
20200427,4,Oberösterreich,2267,53,1903
20200427,5,Salzburg,1198,32,1059
20200427,6,Steiermark,1754,128,1130
20200427,7,Tirol,3456,105,3094
20200427,8,Vorarlberg,888,17,793
20200427,9,Wien,2431,156,1784
20200427,10,Österreich,15355,611,12470
20200428,1,Burgenland,321,10,233
20200428,2,Kärnten,415,13,365
20200428,3,Niederösterreich,2633,97,2143
20200428,4,Oberösterreich,2270,55,1928
20200428,5,Salzburg,1199,34,1070
20200428,6,Steiermark,1758,132,1159
20200428,7,Tirol,3461,106,3130
20200428,8,Vorarlberg,890,17,798
20200428,9,Wien,2457,160,1814
20200428,10,Österreich,15404,624,12640
20200429,1,Burgenland,323,10,237
20200429,2,Kärnten,415,13,365
20200429,3,Niederösterreich,2649,98,2182
20200429,4,Oberösterreich,2272,56,1955
20200429,5,Salzburg,1199,34,1080
20200429,6,Steiermark,1763,136,1193
20200429,7,Tirol,3466,106,3148
20200429,8,Vorarlberg,890,17,806
20200429,9,Wien,2488,160,1849
20200429,10,Österreich,15465,630,12815
20200430,1,Burgenland,325,10,242
20200430,2,Kärnten,415,13,370
20200430,3,Niederösterreich,2655,98,2236
20200430,4,Oberösterreich,2273,56,1986
20200430,5,Salzburg,1200,34,1085
20200430,6,Steiermark,1771,136,1228
20200430,7,Tirol,3469,106,3174
20200430,8,Vorarlberg,891,18,822
20200430,9,Wien,2520,165,1876
20200430,10,Österreich,15519,636,13019
20200501,1,Burgenland,326,10,243
20200501,2,Kärnten,415,13,371
20200501,3,Niederösterreich,2662,98,2256
20200501,4,Oberösterreich,2274,56,2017
20200501,5,Salzburg,1200,35,1089
20200501,6,Steiermark,1775,136,1247
20200501,7,Tirol,3469,106,3182
20200501,8,Vorarlberg,891,19,827
20200501,9,Wien,2544,166,1899
20200501,10,Österreich,15556,639,13131
20200502,1,Burgenland,327,10,245
20200502,2,Kärnten,415,14,372
20200502,3,Niederösterreich,2663,98,2270
20200502,4,Oberösterreich,2274,57,2029
20200502,5,Salzburg,1201,35,1090
20200502,6,Steiermark,1777,136,1260
20200502,7,Tirol,3471,106,3194
20200502,8,Vorarlberg,892,19,830
20200502,9,Wien,2564,166,1921
20200502,10,Österreich,15584,641,13211
20200503,1,Burgenland,327,11,248
20200503,2,Kärnten,415,14,373
20200503,3,Niederösterreich,2665,100,2284
20200503,4,Oberösterreich,2276,57,2033
20200503,5,Salzburg,1201,35,1093
20200503,6,Steiermark,1778,137,1272
20200503,7,Tirol,3473,106,3205
20200503,8,Vorarlberg,892,19,831
20200503,9,Wien,2569,168,1930
20200503,10,Österreich,15596,647,13269
20200504,1,Burgenland,327,11,251
20200504,2,Kärnten,415,14,376
20200504,3,Niederösterreich,2670,101,2314
20200504,4,Oberösterreich,2276,57,2049
20200504,5,Salzburg,1201,35,1101
20200504,6,Steiermark,1781,138,1309
20200504,7,Tirol,3476,107,3226
20200504,8,Vorarlberg,892,19,838
20200504,9,Wien,2588,168,1955
20200504,10,Österreich,15626,650,13419
20200505,1,Burgenland,328,11,255
20200505,2,Kärnten,416,14,376
20200505,3,Niederösterreich,2682,103,2336
20200505,4,Oberösterreich,2277,57,2072
20200505,5,Salzburg,1202,35,1107
20200505,6,Steiermark,1784,138,1333
20200505,7,Tirol,3481,108,3242
20200505,8,Vorarlberg,892,19,840
20200505,9,Wien,2618,168,1982
20200505,10,Österreich,15680,653,13543
20200506,1,Burgenland,328,11,265
20200506,2,Kärnten,416,14,380
20200506,3,Niederösterreich,2693,103,2365
20200506,4,Oberösterreich,2279,57,2090
20200506,5,Salzburg,1202,35,1112
20200506,6,Steiermark,1792,138,1361
20200506,7,Tirol,3484,108,3251
20200506,8,Vorarlberg,892,19,841
20200506,9,Wien,2640,172,1997
20200506,10,Österreich,15726,657,13662
20200507,1,Burgenland,328,11,271
20200507,2,Kärnten,416,14,385
20200507,3,Niederösterreich,2701,103,2393
20200507,4,Oberösterreich,2280,57,2107
20200507,5,Salzburg,1202,35,1115
20200507,6,Steiermark,1796,138,1385
20200507,7,Tirol,3486,108,3262
20200507,8,Vorarlberg,892,19,845
20200507,9,Wien,2663,174,2020
20200507,10,Österreich,15764,659,13783
20200508,1,Burgenland,329,11,277
20200508,2,Kärnten,416,14,388
20200508,3,Niederösterreich,2711,103,2411
20200508,4,Oberösterreich,2281,58,2126
20200508,5,Salzburg,1202,36,1121
20200508,6,Steiermark,1801,138,1415
20200508,7,Tirol,3486,108,3285
20200508,8,Vorarlberg,892,19,846
20200508,9,Wien,2696,177,2081
